job_description,label
"Title: Principal ETL Developer - Immediate Start
Skills: 
A developer-tools startup is hiring a Principal ETL Developer - Immediate Start based in Chennai. Responsibilities: Design and operate batch and streaming data pipelines; Move terabytes of data reliably and cheaply; Partner with data scientists to productionise datasets. The ideal candidate brings 10 years of hands-on experience and thrives in a fast-paced environment. Salary range: ₹18–30 LPA. Plus pension, wellness allowance and team events.",1
"Title: Trainee Line Cook
Skills: 
Join us! We're an accountancy practice and we need a talented Trainee Line Cook. This is a Full-time position (Toronto). You will train and supervise kitchen staff. You will design seasonal menus and daily specials. You will manage food costs, ordering and supplier relationships. Requirements: 4+ years in a similar role, strong communication skills, and a can-do attitude. All qualified applicants will receive consideration without regard to race, religion, gender or age. Apply now — interviews are being scheduled on a rolling basis.",0
"Lead Engineering Talent Sourcer. Our client, a healthtech software company, has an immediate opening for a Lead Engineering Talent Sourcer in Berlin. You will partner with hiring managers on role requirements for Python and Java teams. You will manage candidate pipelines in the ATS. Requirements: 2+ years in a similar role, strong communication skills, and a can-do attitude. We are an equal opportunity employer and value diversity at our company. Click apply to start your application. Immediate start available.",0
"Title: Lead Test Engineer
Skills: Selenium, Java, Cypress, Test planning, Postman, Python, JIRA
We are a cybersecurity software vendor looking for a Lead Test Engineer to join our growing team in New York, NY. Responsibilities: Integrate tests into ci pipelines and gate releases; Build api, ui and regression test frameworks; Design and maintain automated test suites. Minimum 5 years of experience required. A relevant degree or certification is a plus. Compensation: ₹5–9 LPA depending on experience. To apply, submit your CV and a short cover letter.",1
"Title: Graduate Analytics Specialist II
Skills: A/B testing, Looker, Statistics, Power BI, Python, dbt, Time management
An accountancy practice is hiring a Graduate Analytics Specialist II based in Dubai. Responsibilities: Write complex sql against the data warehouse; Define and track kpis across the business. Requirements: 5+ years in a similar role, strong communication skills, and a can-do attitude. Benefits include performance bonus, flexible hours and professional development budget. Click apply to start your application. Immediate start available.",1
"Title: Graduate Brand Manager
Skills: Email marketing, Brand strategy, Social media, Copywriting, Google Ads
Join us! We're a family-run restaurant group and we need a talented Graduate Brand Manager. This is a Internship position (Remote). Responsibilities: Coordinate with agencies, designers and sales; Grow brand awareness and lead generation; Run paid media and report on campaign roi; Manage the content calendar and social channels. Minimum 2 years of experience required. A relevant degree or certification is a plus. All qualified applicants will receive consideration without regard to race, religion, gender or age.",0
"Title: Associate Site Supervisor
Skills: Subcontractor management, Procurement, Project scheduling, Budgeting, Blueprint reading
Position: Associate Site Supervisor
Location: Dubai
Type: Internship
About us: we are a logistics and haulage company with a people-first culture. Responsibilities: Manage construction projects from mobilisation to handover; Report progress to clients and stakeholders; Enforce safety standards on site; Track budgets, variations and progress claims. Minimum 2 years of experience required. A relevant degree or certification is a plus. We are an equal opportunity employer and value diversity at our company. Apply now — interviews are being scheduled on a rolling basis.",0
"Title: Principal E-commerce Manager II
Skills: A/B testing, SEO, Excel, Email marketing, Campaign management
We are an AI-driven analytics company looking for a Principal E-commerce Manager II to join our growing team in Mumbai. Responsibilities: Manage the company website content in the cms; Grow online revenue through conversion optimisation. You have 4+ years of relevant experience. We offer competitive salary, health insurance and generous paid leave. We are an equal opportunity employer and value diversity at our company. Click apply to start your application. Immediate start available.",0
"Title: Senior Loss Prevention Officer
Skills: Patrolling, Conflict de-escalation, Incident reporting, Communication
Position: Senior Loss Prevention Officer
Location: Pune
Type: Internship
About us: we are a logistics and haulage company with a people-first culture. You will patrol premises and monitor CCTV systems. You will provide a visible, reassuring presence. You will control site access and verify credentials. The ideal candidate brings 7 years of hands-on experience and thrives in a fast-paced environment. Salary range: €60,000–€80,000. Plus pension, wellness allowance and team events. We are an equal opportunity employer and value diversity at our company. To apply, submit your CV and a short cover letter.",0
"Staff Truck Driver. Our client, a global e-commerce platform, has an immediate opening for a Staff Truck Driver in Hybrid — Bengaluru. You will pick, pack and dispatch orders accurately. You will keep vehicles and equipment maintained and clean. You will deliver goods safely and on schedule. You have 4+ years of relevant experience. We offer competitive salary, health insurance and generous paid leave. All qualified applicants will receive consideration without regard to race, religion, gender or age. To apply, submit your CV and a short cover letter.",0
"Title: Junior Yoga Instructor - Immediate Start
Skills: CPR certification, Nutrition basics, Program design, Group instruction
A logistics and haulage company is hiring a Junior Yoga Instructor - Immediate Start based in Austin, TX. You will coach individuals and group classes. You will grow client retention through great service. You will design safe, effective training programmes. You will track client progress and adjust plans. Minimum 10 years of experience required. A relevant degree or certification is a plus. In return we offer ₹8–15 LPA, hybrid working and clear career progression. We celebrate diversity and are committed to creating an inclusive environment for all employees.",0
"Title: Trainee iOS Developer
Skills: REST API, React Native, Firebase, Flutter
A venture-backed fintech scale-up is hiring a Trainee iOS Developer based in Austin, TX. Responsibilities: Optimise app startup time, battery and memory usage; Build and ship native mobile applications; Integrate push notifications, analytics and payments. Minimum 8 years of experience required. A relevant degree or certification is a plus. All qualified applicants will receive consideration without regard to race, religion, gender or age. Click apply to start your application. Immediate start available.",1
"Title: Staff Administrative Assistant
Skills: Scheduling, Budgeting, Vendor management, Process improvement, Microsoft Office
Our client, a boutique hotel group, has an immediate opening for a Staff Administrative Assistant in Pune. Responsibilities: Keep day-to-day operations running smoothly; Improve administrative processes and documentation; Coordinate meetings, events and office moves. Requirements: 5+ years in a similar role, strong communication skills, and a can-do attitude. Benefits include performance bonus, flexible hours and professional development budget. We are an equal opportunity employer and value diversity at our company. Click apply to start your application. Immediate start available.",0
"Title: Backend Engineer
Skills: SQL, FastAPI, Python, Spring Boot, Java, Redis, Node.js
We are an AI-driven analytics company looking for a Backend Engineer to join our growing team in Remote. Responsibilities: Optimise database queries and schema design; Design and build scalable rest and graphql apis; Write clean, well-tested code and participate in code reviews; Own services end to end from design through production support. You have 8+ years of relevant experience. Salary range: £55,000–£75,000. Plus pension, wellness allowance and team events. Apply now — interviews are being scheduled on a rolling basis.",1
"Title: Junior Cashier
Skills: Merchandising, Team scheduling, Cash handling, POS systems
Join us! We're an independent school and we need a talented Junior Cashier. This is a Full-time position (Pune). Responsibilities: Open and close the store and reconcile tills; Manage stock, deliveries and merchandising standards; Handle customer queries, returns and complaints. The ideal candidate brings 10 years of hands-on experience and thrives in a fast-paced environment. In return we offer $70,000–$95,000, hybrid working and clear career progression. We celebrate diversity and are committed to creating an inclusive environment for all employees.",0
"Title: Staff Warehouse Associate (Night Shift)
Skills: Route planning, Valid driving licence, Pallet jack, Forklift certification
A community non-profit is hiring a Staff Warehouse Associate (Night Shift) based in Dubai. You will keep vehicles and equipment maintained and clean. You will pick, pack and dispatch orders accurately. You will follow health and safety procedures at all times. The ideal candidate brings 5 years of hands-on experience and thrives in a fast-paced environment. We offer competitive salary, health insurance and generous paid leave. To apply, submit your CV and a short cover letter.",0
"Title: Staff Salesforce Developer
Skills: 
About the role: A venture-backed fintech scale-up seeks an experienced Staff Salesforce Developer. Location: Toronto. Permanent. You will maintain sandboxes, deployments and release cycles. You will support and train business users on new functionality. You have 5+ years of relevant experience. Compensation: ₹18–30 LPA depending on experience. Apply now — interviews are being scheduled on a rolling basis.",1
"Title: Senior Tax Accountant
Skills: Reconciliations, QuickBooks, Month-end close, General ledger
We are a manufacturing plant looking for a Senior Tax Accountant to join our growing team in Hyderabad. You will improve accounting processes and controls. You will prepare financial statements and audit schedules. You have 10+ years of relevant experience. Benefits include performance bonus, flexible hours and professional development budget. We celebrate diversity and are committed to creating an inclusive environment for all employees. Click apply to start your application. Immediate start available.",0
"Title: Principal IT Trainer
Skills: Vendor management, Stakeholder communication, Licensing, Scheduling
Join us! We're a mobile gaming studio and we need a talented Principal IT Trainer. This is a Part-time position (London). Responsibilities: Track purchase orders for laptops and cloud subscriptions; Manage software licence renewals and true-ups. Requirements: 4+ years in a similar role, strong communication skills, and a can-do attitude. We offer competitive salary, health insurance and generous paid leave. Apply now — interviews are being scheduled on a rolling basis.",0
"Title: Senior Technology Sales Executive
Skills: Quota attainment, Pipeline management, SaaS, Salesforce CRM, Prospecting, Demos, Negotiation, Time management
Position: Senior Technology Sales Executive
Location: Remote
Type: Contract
About us: we are a global e-commerce platform with a people-first culture. Responsibilities: Manage the full sales cycle from lead to close in salesforce; Build relationships with ctos and it directors; Exceed quarterly revenue quota for saas subscriptions; Sell our cloud software platform to enterprise accounts. Requirements: 8+ years in a similar role, strong communication skills, and a can-do attitude. Click apply to start your application. Immediate start available.",0
"Title: Associate IT Project Coordinator
Skills: Scheduling, Microsoft Office, Stakeholder communication, Licensing
About the role: A leading cloud infrastructure provider seeks an experienced Associate IT Project Coordinator. Location: Dubai. Permanent. Responsibilities: Train staff on business applications and new tools; Write articles covering the technology industry. Requirements: 7+ years in a similar role, strong communication skills, and a can-do attitude. Compensation: ₹5–9 LPA depending on experience. We are an equal opportunity employer and value diversity at our company.",0
"Title: Associate Sports Coach - Remote
Skills: 
Our client, a venture-backed fintech scale-up, has an immediate opening for a Associate Sports Coach - Remote in Remote. Responsibilities: Design safe, effective training programmes; Grow client retention through great service; Coach individuals and group classes. The ideal candidate brings 2 years of hands-on experience and thrives in a fast-paced environment. We offer competitive salary, health insurance and generous paid leave. We celebrate diversity and are committed to creating an inclusive environment for all employees.",0
"Title: Associate Technical Lead
Skills: Code review, AWS, System design, Agile, Python, People management, Hiring, Roadmapping, Mentoring
A construction and civil engineering contractor is hiring a Associate Technical Lead based in London. You will run 1:1s, growth conversations and hiring loops. You will lead a team of software engineers and own delivery. You will stay hands-on in design reviews and critical code paths. You will balance technical debt against feature velocity. Minimum 10 years of experience required. A relevant degree or certification is a plus. Click apply to start your application. Immediate start available.",1
"ASSOCIATE SDET. A healthtech software company is hiring a ASSOCIATE SDET based in Delhi NCR. You will integrate tests into CI pipelines and gate releases. You will reproduce, isolate and document defects clearly. You will build API, UI and regression test frameworks. You will champion quality across the development lifecycle. Minimum 7 years of experience required. A relevant degree or certification is a plus. Compensation: £35,000–£50,000 depending on experience. We celebrate diversity and are committed to creating an inclusive environment for all employees. To apply, submit your CV and a short cover letter.",1
"Title: Junior UI/UX Designer
Skills: Illustrator, Figma, Typography, Layout, User research, Adobe Photoshop
Our client, a global e-commerce platform, has an immediate opening for a Junior UI/UX Designer in London. You will create visual identities, layouts and marketing assets. You will maintain brand consistency across channels. You will run user research and usability testing sessions. You will design user flows, wireframes and prototypes. Requirements: 2+ years in a similar role, strong communication skills, and a can-do attitude. We offer competitive salary, health insurance and generous paid leave. To apply, submit your CV and a short cover letter.",0
"Title: Lead Marketing Automation Specialist
Skills: 
About the role: A cybersecurity software vendor seeks an experienced Lead Marketing Automation Specialist. Location: Remote. Full-time. You will coordinate with the engineering team on tracking pixels. You will manage the company website content in the CMS. You will analyse funnel performance in Google Analytics dashboards. You have 2+ years of relevant experience. Salary range: $110,000–$150,000. Plus pension, wellness allowance and team events. All qualified applicants will receive consideration without regard to race, religion, gender or age. To apply, submit your CV and a short cover letter.",0
"Senior Lifeguard. About the role: A fast-growing SaaS startup seeks an experienced Senior Lifeguard. Location: Singapore. Full-time. You will grow client retention through great service. You will track client progress and adjust plans. You will design safe, effective training programmes. Minimum 2 years of experience required. A relevant degree or certification is a plus. In return we offer ₹8–15 LPA, hybrid working and clear career progression. We are an equal opportunity employer and value diversity at our company. To apply, submit your CV and a short cover letter.",0
"Title: Senior Software Developer
Skills: Node.js, Git, MongoDB, PostgreSQL, React
A cybersecurity software vendor is hiring a Senior Software Developer based in Pune. You will design new modules and refactor legacy code. You will contribute to architectural decisions and technical roadmaps. You will ship features across the entire stack, from database to UI. You will debug production issues and improve observability. The ideal candidate brings 4 years of hands-on experience and thrives in a fast-paced environment. Salary range: ₹5–9 LPA. Plus pension, wellness allowance and team events. All qualified applicants will receive consideration without regard to race, religion, gender or age.",1
"Title: Help Desk Technician
Skills: Linux, Office 365, Networking, Time management
We are a developer-tools startup looking for a Help Desk Technician to join our growing team in Delhi NCR. Responsibilities: Resolve hardware, software and access tickets; Patch, monitor and back up company systems; Document runbooks and improve it processes. Requirements: 1+ years in a similar role, strong communication skills, and a can-do attitude. In return we offer $110,000–$150,000, hybrid working and clear career progression. All qualified applicants will receive consideration without regard to race, religion, gender or age. Apply now — interviews are being scheduled on a rolling basis.",1
"Title: STAFF TERRITORY SALES MANAGER
Skills: 
About the role: A national retail chain seeks an experienced STAFF TERRITORY SALES MANAGER. Location: Dubai. Permanent. Responsibilities: Consistently hit and exceed monthly quota; Manage a pipeline and forecast accurately; Run discovery calls, demos and negotiations; Prospect, qualify and close new business. Requirements: 5+ years in a similar role, strong communication skills, and a can-do attitude. Salary range: £35,000–£50,000. Plus pension, wellness allowance and team events. We are an equal opportunity employer and value diversity at our company. Click apply to start your application. Immediate start available.",0
"Title: Principal ERP Developer
Skills: 
Position: Principal ERP Developer
Location: Hyderabad
Type: Full-time
About us: we are a developer-tools startup with a people-first culture. Responsibilities: Build integrations between enterprise systems; Support and train business users on new functionality; Customise and extend the platform with code and configuration; Translate business processes into platform workflows. You have 4+ years of relevant experience. We offer competitive salary, health insurance and generous paid leave. We celebrate diversity and are committed to creating an inclusive environment for all employees. To apply, submit your CV and a short cover letter.",1
"Title: Lead Flutter Developer - Remote
Skills: REST API, Flutter, React Native, Swift, Kotlin, Android, Git, Dart
Join us! We're a cybersecurity software vendor and we need a talented Lead Flutter Developer - Remote. This is a Full-time position (Bengaluru). You will build and ship native mobile applications. You will integrate push notifications, analytics and payments. Requirements: 3+ years in a similar role, strong communication skills, and a can-do attitude. Apply now — interviews are being scheduled on a rolling basis.",1
"Title: Engineering Talent Sourcer
Skills: ATS, Interviewing
Position: Engineering Talent Sourcer
Location: Mumbai
Type: Permanent
About us: we are a fast-growing SaaS startup with a people-first culture. Responsibilities: Partner with hiring managers on role requirements for python and java teams; Build talent pools for hard-to-fill engineering roles; Source and screen software engineers, devops and data candidates; Coordinate technical interviews and close offers. Minimum 2 years of experience required. A relevant degree or certification is a plus. Salary range: €60,000–€80,000. Plus pension, wellness allowance and team events. Apply now — interviews are being scheduled on a rolling basis.",0
"Title: Graduate Solutions Architect
Skills: Terraform, Cost optimisation, Microservices, Event-driven architecture
We are a regional hospital network looking for a Graduate Solutions Architect to join our growing team in Berlin. Responsibilities: Set standards for scalability, resilience and security; Evaluate build-vs-buy decisions and new technologies; Translate business requirements into system designs. Minimum 4 years of experience required. A relevant degree or certification is a plus. Benefits include performance bonus, flexible hours and professional development budget. We are an equal opportunity employer and value diversity at our company. To apply, submit your CV and a short cover letter.",1
"Title: Trainee Enterprise Software Sales Manager II
Skills: Prospecting, Quota attainment, Salesforce CRM
We are an AI-driven analytics company looking for a Trainee Enterprise Software Sales Manager II to join our growing team in London. You will exceed quarterly revenue quota for SaaS subscriptions. You will sell our cloud software platform to enterprise accounts. You have 1+ years of relevant experience.",0
"Title: Senior UI/UX Designer
Skills: Wireframing, Branding, Typography, Adobe Photoshop, Figma, User research, Layout
We are a community non-profit looking for a Senior UI/UX Designer to join our growing team in New York, NY. Responsibilities: Maintain brand consistency across channels; Run user research and usability testing sessions; Create visual identities, layouts and marketing assets; Design user flows, wireframes and prototypes. Minimum 5 years of experience required. A relevant degree or certification is a plus. Compensation: $70,000–$95,000 depending on experience. Click apply to start your application. Immediate start available.",0
"Title: Business Development Manager
Skills: Quota attainment, Cold calling, Prospecting
We are a community non-profit looking for a Business Development Manager to join our growing team in London. You will consistently hit and exceed monthly quota. You will grow revenue within existing accounts. You will prospect, qualify and close new business. Minimum 4 years of experience required. A relevant degree or certification is a plus. Benefits include performance bonus, flexible hours and professional development budget.",0
"Title: Staff Nurse Practitioner
Skills: Care planning, Medication administration, Patient care, Charting, IV therapy, BLS certification
A property management agency is hiring a Staff Nurse Practitioner based in London. Responsibilities: Monitor vitals and escalate changes in patient condition; Provide direct patient care and administer medications. Minimum 10 years of experience required. A relevant degree or certification is a plus. Compensation: ₹18–30 LPA depending on experience. We are an equal opportunity employer and value diversity at our company. Apply now — interviews are being scheduled on a rolling basis.",0
"Title: HVAC Technician
Skills: Troubleshooting, Hand tools, Trade certification, Blueprint reading, Preventive maintenance
Our client, a logistics and haulage company, has an immediate opening for a HVAC Technician in London. You will diagnose faults and complete repairs to code. You will read technical drawings and job specifications. You will install, maintain and repair systems and equipment. The ideal candidate brings 5 years of hands-on experience and thrives in a fast-paced environment. All qualified applicants will receive consideration without regard to race, religion, gender or age.",0
"Title: Senior DBA
Skills: Python, Backup and recovery, Performance tuning, Linux, MySQL, PostgreSQL, Time management
A busy law firm is hiring a Senior DBA based in Berlin. Responsibilities: Administer and tune production database clusters; Enforce data security and access policies; Plan capacity and manage schema migrations safely. Requirements: 10+ years in a similar role, strong communication skills, and a can-do attitude. In return we offer £55,000–£75,000, hybrid working and clear career progression. We celebrate diversity and are committed to creating an inclusive environment for all employees. Apply now — interviews are being scheduled on a rolling basis.",1
"Title: Junior Security Officer (Night Shift)
Skills: SIA licence, Conflict de-escalation, Access control, Surveillance
Our client, a community non-profit, has an immediate opening for a Junior Security Officer (Night Shift) in Manchester. Responsibilities: Respond to alarms and security incidents; Provide a visible, reassuring presence. Minimum 5 years of experience required. A relevant degree or certification is a plus. Salary range: £55,000–£75,000. Plus pension, wellness allowance and team events. All qualified applicants will receive consideration without regard to race, religion, gender or age. To apply, submit your CV and a short cover letter.",0
"Title: Customer Service Representative
Skills: Ticketing systems, Empathy
Our client, a busy law firm, has an immediate opening for a Customer Service Representative in Hybrid — Bengaluru. You will answer inbound calls, chats and emails from customers. You will resolve billing, order and account issues. You will log interactions accurately and follow up on promises. You will hit response-time and satisfaction targets. Minimum 5 years of experience required. A relevant degree or certification is a plus. In return we offer ₹18–30 LPA, hybrid working and clear career progression. We are an equal opportunity employer and value diversity at our company. Apply now — interviews are being scheduled on a rolling basis.",0
"Tech Lead. We are a mobile gaming studio looking for a Tech Lead to join our growing team in Delhi NCR. You will balance technical debt against feature velocity. You will stay hands-on in design reviews and critical code paths. You have 2+ years of relevant experience. We offer competitive salary, health insurance and generous paid leave. All qualified applicants will receive consideration without regard to race, religion, gender or age. Click apply to start your application. Immediate start available.",1
"Title: Principal Accounts Payable Clerk
Skills: Accounts payable, QuickBooks, Month-end close, GAAP, General ledger, Reconciliations
A regional hospital network is hiring a Principal Accounts Payable Clerk based in Hyderabad. You will process invoices, payments and expense reports. You will prepare financial statements and audit schedules. You will run payroll and handle statutory filings. You will own month-end close and balance sheet reconciliations. You have 5+ years of relevant experience. Compensation: ₹8–15 LPA depending on experience. We celebrate diversity and are committed to creating an inclusive environment for all employees. To apply, submit your CV and a short cover letter.",0
